temp,avg_report_count,primary_type
-17,3.0000000000000000,PROSTITUTION
-17,2.0000000000000000,OTHER OFFENSE
-17,1.5000000000000000,CRIMINAL TRESPASS
-17,1.00000000000000000000,BATTERY
-17,1.00000000000000000000,DECEPTIVE PRACTICE
-17,1.3333333333333333,CRIMINAL DAMAGE
-17,3.6666666666666667,BURGLARY
-17,2.0000000000000000,ROBBERY
-17,1.00000000000000000000,ASSAULT
-17,2.0000000000000000,THEFT
-17,1.5000000000000000,MOTOR VEHICLE THEFT
-17,1.00000000000000000000,NARCOTICS
-16,1.5000000000000000,THEFT
-16,1.00000000000000000000,OTHER OFFENSE
-16,2.5000000000000000,BATTERY
-16,1.00000000000000000000,BURGLARY
-16,1.00000000000000000000,DECEPTIVE PRACTICE
-16,1.00000000000000000000,CRIMINAL TRESPASS
-15,1.00000000000000000000,OFFENSE INVOLVING CHILDREN
-15,2.7500000000000000,DECEPTIVE PRACTICE
-15,1.00000000000000000000,CRIMINAL TRESPASS
-15,1.00000000000000000000,KIDNAPPING
-15,2.0000000000000000,BATTERY
-15,2.8000000000000000,OTHER OFFENSE
-15,3.4000000000000000,THEFT
-15,2.0000000000000000,MOTOR VEHICLE THEFT
-15,1.2500000000000000,CRIMINAL DAMAGE
-15,1.00000000000000000000,ASSAULT
-15,1.00000000000000000000,NARCOTICS
-15,1.00000000000000000000,PUBLIC PEACE VIOLATION
-15,1.6666666666666667,BURGLARY
-14,3.6666666666666667,BATTERY
-14,1.00000000000000000000,PROSTITUTION
-14,2.5000000000000000,MOTOR VEHICLE THEFT
-14,2.3333333333333333,NARCOTICS
-14,2.0000000000000000,BURGLARY
-14,1.00000000000000000000,WEAPONS VIOLATION
-14,4.0000000000000000,CRIMINAL DAMAGE
-14,7.0000000000000000,THEFT
-14,1.6666666666666667,OTHER OFFENSE
-14,1.00000000000000000000,ROBBERY
-14,1.00000000000000000000,OFFENSE INVOLVING CHILDREN
-14,1.6666666666666667,CRIMINAL TRESPASS
-14,1.00000000000000000000,STALKING
-14,1.00000000000000000000,DECEPTIVE PRACTICE
-14,1.5000000000000000,ASSAULT
-13,3.0000000000000000,MOTOR VEHICLE THEFT
-13,4.0000000000000000,CRIMINAL DAMAGE
-13,2.6666666666666667,BATTERY
-13,6.0000000000000000,OTHER OFFENSE
-13,1.5000000000000000,ASSAULT
-13,1.00000000000000000000,ROBBERY
-13,1.00000000000000000000,LIQUOR LAW VIOLATION
-13,1.00000000000000000000,WEAPONS VIOLATION
-13,2.0000000000000000,BURGLARY
-13,4.0000000000000000,NARCOTICS
-13,4.5000000000000000,DECEPTIVE PRACTICE
-13,8.0000000000000000,THEFT
